destination,rank,activity_name,category,affinity_score
"Vienna, Austria",1,Small-Group Nomad Ride Kyrgyzstan Motorbike Tour from Bishkek,Outdoor Activities,0.9191
"Vienna, Austria",2,"Ride the Caucasus: Epic Enduro Adventure to Tusheti, Georgia",Outdoor Activities,0.9047
"Vienna, Austria",3,Azerbaijan and Uzbekistan 14 Days Private Silk Road Tour,Outdoor Activities,0.904
"Vienna, Austria",4,9 Days Private Guided Tour to Uzbekistan,Transport,0.8965
"Vienna, Austria",5,Go City Hong Kong Explorer Pass - Choose 4 to 7 Attractions,Shows & Concerts,0.8956
"Vienna, Austria",6,12-Day Gobi Long tour/Adventure/Motorcycle/UTV,Outdoor Activities,0.8938
"Vienna, Austria",7,Off-Road 2023 Yamaha Tenere 700 motorcycle tour in Mongolia,Outdoor Activities,0.8938
"Vienna, Austria",8,Uzbekistan 6 days tour,Transport,0.8936
"Vienna, Austria",9,Gobi &Central Mongolia –Local Naadam Tour,Cruises & Sailing,0.8928
"Vienna, Austria",10,Gobi and Grassland Mongolia 7N8D,Cruises & Sailing,0.8926
"Vienna, Austria",11,8 Days Gobi And Waterfall Tour,Cruises & Sailing,0.8925
"Vienna, Austria",12,8 Days Tour: Gobi Desert And Kharkhorin,Cruises & Sailing,0.8925
"Vienna, Austria",13,6 Days Tour: Central Mongolia,Cruises & Sailing,0.8923
"Vienna, Austria",14,4 Days Tour: Central Mongolia,Cruises & Sailing,0.892
"Vienna, Austria",15,Great Gobi Desert and Ancient Mongolia 12 days,Cruises & Sailing,0.8914
"Vienna, Austria",16,Authentic Mongolian two days tours in Terelj & Khustai National P,Cruises & Sailing,0.8912
"Vienna, Austria",17,Full-Day Motorcycle tour to Terelj NP,Outdoor Activities,0.8911
"Vienna, Austria",18,Aral sea trip and Uzbekistan Legends,Transport,0.8911
"Vienna, Austria",19,"Mongolian Great Gobi Desert , Steppe & Safari tour 10 days",Cruises & Sailing,0.8908
"Vienna, Austria",20,Crystal Clear Khuvsgul Lake Tour 5 days,Cruises & Sailing,0.8903
"Bucharest, Romania",1,Whirling Dervishes Show and Bosphorus Boat Tour,Family Friendly,0.8847
"Bucharest, Romania",2,Istanbul: Original Whirling Dervish Ceremony,Family Friendly,0.8836
"Bucharest, Romania",3,Whirling Dervishes Show at Hodjapasha Cultural Center in Istanbul,Family Friendly,0.8833
"Bucharest, Romania",4,Whirling Dervishes Show at Hodjapasha Cultural Center in Istanbul,Family Friendly,0.8833
